mean,svm_linear__C,pca__n_components
0.56521739130434778,0.001953125,6
0.59130434782608698,0.00390625,6
0.58260869565217388,0.0078125,6
0.61304347826086958,0.015625,6
0.59565217391304348,0.03125,6
0.59999999999999998,0.0625,6
0.59999999999999998,0.125,6
0.58695652173913049,0.25,6
0.57826086956521738,0.5,6
0.58260869565217388,1,6
0.58260869565217388,2,6
0.58260869565217388,4,6
0.58260869565217388,8,6
0.58260869565217388,16,6
0.58260869565217388,32,6
0.58260869565217388,64,6
0.58260869565217388,128,6
0.58260869565217388,256,6
0.58260869565217388,512,6
0.59130434782608698,0.001953125,12
0.68260869565217386,0.00390625,12
0.66521739130434787,0.0078125,12
0.66956521739130437,0.015625,12
0.66521739130434787,0.03125,12
0.66086956521739126,0.0625,12
0.65652173913043477,0.125,12
0.66086956521739126,0.25,12
0.67391304347826086,0.5,12
0.66956521739130437,1,12
0.66086956521739126,2,12
0.65652173913043477,4,12
0.65652173913043477,8,12
0.65652173913043477,16,12
0.65652173913043477,32,12
0.65652173913043477,64,12
0.65652173913043477,128,12
0.65652173913043477,256,12
0.65652173913043477,512,12
0.68260869565217386,0.001953125,22
0.73478260869565215,0.00390625,22
0.72608695652173916,0.0078125,22
0.71739130434782605,0.015625,22
0.70869565217391306,0.03125,22
0.71304347826086956,0.0625,22
0.70434782608695656,0.125,22
0.72173913043478266,0.25,22
0.70434782608695656,0.5,22
0.69999999999999996,1,22
0.69999999999999996,2,22
0.70869565217391306,4,22
0.71304347826086956,8,22
0.71304347826086956,16,22
0.71304347826086956,32,22
0.70869565217391306,64,22
0.70869565217391306,128,22
0.70869565217391306,256,22
0.70869565217391306,512,22
0.70869565217391306,0.001953125,44
0.83043478260869563,0.00390625,44
0.82608695652173914,0.0078125,44
0.81739130434782614,0.015625,44
0.83043478260869563,0.03125,44
0.84347826086956523,0.0625,44
0.80434782608695654,0.125,44
0.80000000000000004,0.25,44
0.81304347826086953,0.5,44
0.80869565217391304,1,44
0.80434782608695654,2,44
0.79565217391304344,4,44
0.80434782608695654,8,44
0.80434782608695654,16,44
0.80434782608695654,32,44
0.77826086956521734,64,44
0.77826086956521734,128,44
0.78695652173913044,256,44
0.78695652173913044,512,44
0.70869565217391306,0.001953125,66
0.80000000000000004,0.00390625,66
0.80434782608695654,0.0078125,66
0.80434782608695654,0.015625,66
0.80000000000000004,0.03125,66
0.83043478260869563,0.0625,66
0.83043478260869563,0.125,66
0.83043478260869563,0.25,66
0.85652173913043483,0.5,66
0.84782608695652173,1,66
0.84782608695652173,2,66
0.84782608695652173,4,66
0.84782608695652173,8,66
0.84782608695652173,16,66
0.84782608695652173,32,66
0.84782608695652173,64,66
0.84782608695652173,128,66
0.84782608695652173,256,66
0.84782608695652173,512,66
0.75217391304347825,0.001953125,116
0.89130434782608692,0.00390625,116
0.86521739130434783,0.0078125,116
0.90000000000000002,0.015625,116
0.90000000000000002,0.03125,116
0.90000000000000002,0.0625,116
0.90000000000000002,0.125,116
0.90000000000000002,0.25,116
0.90000000000000002,0.5,116
0.90000000000000002,1,116
0.90000000000000002,2,116
0.90000000000000002,4,116
0.90000000000000002,8,116
0.90000000000000002,16,116
0.90000000000000002,32,116
0.90000000000000002,64,116
0.90000000000000002,128,116
0.90000000000000002,256,116
0.90000000000000002,512,116
