mean,svm_gaussian__C,pca__n_components,svm_gaussian__gamma
0.56521739130434778,0.001953125,6,0.001953125
0.56521739130434778,0.001953125,6,0.00390625
0.56521739130434778,0.001953125,6,0.0078125
0.56521739130434778,0.001953125,6,0.015625
0.56521739130434778,0.001953125,6,0.03125
0.56521739130434778,0.001953125,6,0.0625
0.56521739130434778,0.001953125,6,0.125
0.56521739130434778,0.001953125,6,0.25
0.56521739130434778,0.001953125,6,0.5
0.56521739130434778,0.001953125,6,1
0.56521739130434778,0.001953125,6,2
0.56521739130434778,0.001953125,6,4
0.56521739130434778,0.001953125,6,8
0.55652173913043479,0.001953125,6,16
0.56521739130434778,0.001953125,6,32
0.56521739130434778,0.001953125,6,64
0.56521739130434778,0.001953125,6,128
0.56521739130434778,0.001953125,6,256
0.56521739130434778,0.001953125,6,512
0.56521739130434778,0.00390625,6,0.001953125
0.56521739130434778,0.00390625,6,0.00390625
0.56521739130434778,0.00390625,6,0.0078125
0.56521739130434778,0.00390625,6,0.015625
0.56521739130434778,0.00390625,6,0.03125
0.56521739130434778,0.00390625,6,0.0625
0.56521739130434778,0.00390625,6,0.125
0.56521739130434778,0.00390625,6,0.25
0.56521739130434778,0.00390625,6,0.5
0.56521739130434778,0.00390625,6,1
0.56521739130434778,0.00390625,6,2
0.56521739130434778,0.00390625,6,4
0.56521739130434778,0.00390625,6,8
0.55652173913043479,0.00390625,6,16
0.56521739130434778,0.00390625,6,32
0.56521739130434778,0.00390625,6,64
0.56521739130434778,0.00390625,6,128
0.56521739130434778,0.00390625,6,256
0.56521739130434778,0.00390625,6,512
0.56521739130434778,0.0078125,6,0.001953125
0.56521739130434778,0.0078125,6,0.00390625
0.56521739130434778,0.0078125,6,0.0078125
0.56521739130434778,0.0078125,6,0.015625
0.56521739130434778,0.0078125,6,0.03125
0.56521739130434778,0.0078125,6,0.0625
0.56521739130434778,0.0078125,6,0.125
0.56521739130434778,0.0078125,6,0.25
0.56521739130434778,0.0078125,6,0.5
0.56521739130434778,0.0078125,6,1
0.56521739130434778,0.0078125,6,2
0.56521739130434778,0.0078125,6,4
0.56521739130434778,0.0078125,6,8
0.55652173913043479,0.0078125,6,16
0.56521739130434778,0.0078125,6,32
0.56521739130434778,0.0078125,6,64
0.56521739130434778,0.0078125,6,128
0.56521739130434778,0.0078125,6,256
0.56521739130434778,0.0078125,6,512
0.56521739130434778,0.015625,6,0.001953125
0.56521739130434778,0.015625,6,0.00390625
0.56521739130434778,0.015625,6,0.0078125
0.56521739130434778,0.015625,6,0.015625
0.56521739130434778,0.015625,6,0.03125
0.56521739130434778,0.015625,6,0.0625
0.56521739130434778,0.015625,6,0.125
0.56521739130434778,0.015625,6,0.25
0.56521739130434778,0.015625,6,0.5
0.56521739130434778,0.015625,6,1
0.56521739130434778,0.015625,6,2
0.56521739130434778,0.015625,6,4
0.56521739130434778,0.015625,6,8
0.55652173913043479,0.015625,6,16
0.56521739130434778,0.015625,6,32
0.56521739130434778,0.015625,6,64
0.56521739130434778,0.015625,6,128
0.56521739130434778,0.015625,6,256
0.56521739130434778,0.015625,6,512
0.56521739130434778,0.03125,6,0.001953125
0.56521739130434778,0.03125,6,0.00390625
0.56521739130434778,0.03125,6,0.0078125
0.56521739130434778,0.03125,6,0.015625
0.56521739130434778,0.03125,6,0.03125
0.56521739130434778,0.03125,6,0.0625
0.57391304347826089,0.03125,6,0.125
0.60434782608695647,0.03125,6,0.25
0.59130434782608698,0.03125,6,0.5
0.56521739130434778,0.03125,6,1
0.56521739130434778,0.03125,6,2
0.56521739130434778,0.03125,6,4
0.56521739130434778,0.03125,6,8
0.55652173913043479,0.03125,6,16
0.56521739130434778,0.03125,6,32
0.56521739130434778,0.03125,6,64
0.56521739130434778,0.03125,6,128
0.56521739130434778,0.03125,6,256
0.56521739130434778,0.03125,6,512
0.56521739130434778,0.0625,6,0.001953125
0.56521739130434778,0.0625,6,0.00390625
0.56521739130434778,0.0625,6,0.0078125
0.56521739130434778,0.0625,6,0.015625
0.56521739130434778,0.0625,6,0.03125
0.64782608695652177,0.0625,6,0.0625
0.72608695652173916,0.0625,6,0.125
0.67391304347826086,0.0625,6,0.25
0.67391304347826086,0.0625,6,0.5
0.65652173913043477,0.0625,6,1
0.56521739130434778,0.0625,6,2
0.56521739130434778,0.0625,6,4
0.56521739130434778,0.0625,6,8
0.55652173913043479,0.0625,6,16
0.56521739130434778,0.0625,6,32
0.56521739130434778,0.0625,6,64
0.56521739130434778,0.0625,6,128
0.56521739130434778,0.0625,6,256
0.56521739130434778,0.0625,6,512
0.56521739130434778,0.125,6,0.001953125
0.56521739130434778,0.125,6,0.00390625
0.56521739130434778,0.125,6,0.0078125
0.60434782608695647,0.125,6,0.015625
0.69130434782608696,0.125,6,0.03125
0.76086956521739135,0.125,6,0.0625
0.80000000000000004,0.125,6,0.125
0.72173913043478266,0.125,6,0.25
0.68695652173913047,0.125,6,0.5
0.65652173913043477,0.125,6,1
0.61304347826086958,0.125,6,2
0.56521739130434778,0.125,6,4
0.56521739130434778,0.125,6,8
0.55652173913043479,0.125,6,16
0.56521739130434778,0.125,6,32
0.56521739130434778,0.125,6,64
0.56521739130434778,0.125,6,128
0.56521739130434778,0.125,6,256
0.56521739130434778,0.125,6,512
0.56521739130434778,0.25,6,0.001953125
0.56521739130434778,0.25,6,0.00390625
0.59565217391304348,0.25,6,0.0078125
0.67826086956521736,0.25,6,0.015625
0.73043478260869565,0.25,6,0.03125
0.80869565217391304,0.25,6,0.0625
0.84347826086956523,0.25,6,0.125
0.83043478260869563,0.25,6,0.25
0.73478260869565215,0.25,6,0.5
0.69130434782608696,0.25,6,1
0.63913043478260867,0.25,6,2
0.59130434782608698,0.25,6,4
0.56521739130434778,0.25,6,8
0.55652173913043479,0.25,6,16
0.56521739130434778,0.25,6,32
0.56521739130434778,0.25,6,64
0.56521739130434778,0.25,6,128
0.56521739130434778,0.25,6,256
0.56521739130434778,0.25,6,512
0.56521739130434778,0.5,6,0.001953125
0.59999999999999998,0.5,6,0.00390625
0.68260869565217386,0.5,6,0.0078125
0.69565217391304346,0.5,6,0.015625
0.77391304347826084,0.5,6,0.03125
0.83043478260869563,0.5,6,0.0625
0.85217391304347823,0.5,6,0.125
0.86956521739130432,0.5,6,0.25
0.85652173913043483,0.5,6,0.5
0.74782608695652175,0.5,6,1
0.69565217391304346,0.5,6,2
0.63043478260869568,0.5,6,4
0.5347826086956522,0.5,6,8
0.55652173913043479,0.5,6,16
0.56521739130434778,0.5,6,32
0.56521739130434778,0.5,6,64
0.56521739130434778,0.5,6,128
0.56521739130434778,0.5,6,256
0.56521739130434778,0.5,6,512
0.59130434782608698,1,6,0.001953125
0.65217391304347827,1,6,0.00390625
0.67826086956521736,1,6,0.0078125
0.74347826086956526,1,6,0.015625
0.81304347826086953,1,6,0.03125
0.84782608695652173,1,6,0.0625
0.86086956521739133,1,6,0.125
0.86956521739130432,1,6,0.25
0.89130434782608692,1,6,0.5
0.83478260869565213,1,6,1
0.76956521739130435,1,6,2
0.71739130434782605,1,6,4
0.59999999999999998,1,6,8
0.59999999999999998,1,6,16
0.59999999999999998,1,6,32
0.59999999999999998,1,6,64
0.59999999999999998,1,6,128
0.59999999999999998,1,6,256
0.59999999999999998,1,6,512
0.61739130434782608,2,6,0.001953125
0.64347826086956517,2,6,0.00390625
0.69130434782608696,2,6,0.0078125
0.79130434782608694,2,6,0.015625
0.82608695652173914,2,6,0.03125
0.86086956521739133,2,6,0.0625
0.86086956521739133,2,6,0.125
0.87826086956521743,2,6,0.25
0.90000000000000002,2,6,0.5
0.83913043478260874,2,6,1
0.76086956521739135,2,6,2
0.67391304347826086,2,6,4
0.59565217391304348,2,6,8
0.59999999999999998,2,6,16
0.59999999999999998,2,6,32
0.59999999999999998,2,6,64
0.59999999999999998,2,6,128
0.59999999999999998,2,6,256
0.59999999999999998,2,6,512
0.63043478260869568,4,6,0.001953125
0.67826086956521736,4,6,0.00390625
0.73478260869565215,4,6,0.0078125
0.80869565217391304,4,6,0.015625
0.83478260869565213,4,6,0.03125
0.86086956521739133,4,6,0.0625
0.87826086956521743,4,6,0.125
0.89130434782608692,4,6,0.25
0.86956521739130432,4,6,0.5
0.82173913043478264,4,6,1
